menu_id,menu_name,parent_id,order_num,path,component,query,route_name,is_frame,is_cache,menu_type,visible,status,perms,icon,create_by,create_time,update_by,update_time,remark
2029,模版管理查询,2028,1,#,,,,1,0,F,0,0,modelMessage:template:query,#,admin,2024-12-31 14:59:52,,,
2030,模版管理新增,2028,2,#,,,,1,0,F,0,0,modelMessage:template:add,#,admin,2024-12-31 14:59:52,,,
2031,模版管理修改,2028,3,#,,,,1,0,F,0,0,modelMessage:template:edit,#,admin,2024-12-31 14:59:52,,,
2032,模版管理删除,2028,4,#,,,,1,0,F,0,0,modelMessage:template:remove,#,admin,2024-12-31 14:59:52,,,
2033,模版管理导出,2028,5,#,,,,1,0,F,0,0,modelMessage:template:export,#,admin,2024-12-31 14:59:52,,,
2034,变量管理,2021,2,variable,message/variable/index,,,1,0,C,0,0,modelMessage:variable:list,#,admin,2024-12-31 15:01:50,admin,2024-12-31 15:04:56,变量管理菜单
2035,变量管理查询,2034,1,#,,,,1,0,F,0,0,modelMessage:variable:query,#,admin,2024-12-31 15:01:50,,,
2036,变量管理新增,2034,2,#,,,,1,0,F,0,0,modelMessage:variable:add,#,admin,2024-12-31 15:01:50,,,
2037,变量管理修改,2034,3,#,,,,1,0,F,0,0,modelMessage:variable:edit,#,admin,2024-12-31 15:01:50,,,
2038,变量管理删除,2034,4,#,,,,1,0,F,0,0,modelMessage:variable:remove,#,admin,2024-12-31 15:01:50,,,
2039,变量管理导出,2034,5,#,,,,1,0,F,0,0,modelMessage:variable:export,#,admin,2024-12-31 15:01:50,,,
2040,表单管理,0,4,formManagement,,,,1,0,M,0,0,,form,admin,2024-02-15 22:40:23,,,
2041,表单模板,2040,1,formtemplate,form/template/index,,,1,0,C,0,0,form:template:list,#,admin,2025-11-27 14:34:37,,,表单模板菜单
2042,表单模板查询,2041,1,#,,,,1,0,F,0,0,form:template:query,#,admin,2025-11-27 14:34:37,,,
2043,表单模板新增,2041,2,#,,,,1,0,F,0,0,form:template:add,#,admin,2025-11-27 14:34:37,,,
2044,表单模板修改,2041,3,#,,,,1,0,F,0,0,form:template:edit,#,admin,2025-11-27 14:34:37,,,
2045,表单模板删除,2041,4,#,,,,1,0,F,0,0,form:template:remove,#,admin,2025-11-27 14:34:37,,,
2046,表单模板导出,2041,5,#,,,,1,0,F,0,0,form:template:export,#,admin,2025-11-27 14:34:37,,,
2047,表单数据,2040,1,formdata,form/data/index,,,1,0,C,0,0,form:data:list,#,admin,2025-11-27 14:34:37,,,表单数据菜单
2048,表单数据查询,2047,1,#,,,,1,0,F,0,0,form:data:query,#,admin,2025-11-27 14:34:37,,,
2049,表单数据新增,2047,2,#,,,,1,0,F,0,0,form:data:add,#,admin,2025-11-27 14:34:37,,,
2050,表单数据修改,2047,3,#,,,,1,0,F,0,0,form:data:edit,#,admin,2025-11-27 14:34:37,,,
2051,表单数据删除,2047,4,#,,,,1,0,F,0,0,form:data:remove,#,admin,2025-11-27 14:34:37,,,
2052,表单数据导出,2047,5,#,,,,1,0,F,0,0,form:data:export,#,admin,2025-11-27 14:34:37,,,
2053,流程管理,0,6,flowable,,,,1,0,M,0,0,,cascader,tony,2021-03-25 11:35:09,admin,2022-12-29 17:39:22,
2054,流程定义,2053,2,definition,flowable/definition/index,,,1,0,C,0,0,,job,tony,2021-03-25 13:53:55,admin,2022-12-29 17:40:39,
2055,任务管理,0,7,task,,,,1,0,M,0,0,,dict,tony,2021-03-26 10:53:10,admin,2021-03-29 09:37:40,
2056,待办任务,2055,2,todo,flowable/task/todo/index,,,1,1,C,0,0,,cascader,admin,2021-03-26 10:55:52,admin,2021-03-30 09:26:36,
2057,已办任务,2055,3,finished,flowable/task/finished/index,,,1,1,C,0,0,,time-range,admin,2021-03-26 10:57:54,admin,2021-03-30 09:26:50,
2058,已发任务,2055,1,process,flowable/task/myProcess/index,,,1,1,C,0,0,,guide,admin,2021-03-30 09:26:23,admin,2022-12-12 09:58:07,
2059,新增,2058,1,,,,,1,0,F,0,0,system:deployment:add,#,admin,2021-07-07 14:25:22,,,
2060,编辑,2058,2,,,,,1,0,F,0,0,system:deployment:edit,#,admin,2021-07-07 14:25:47,,,
2061,删除,2058,3,,,,,1,0,F,0,0,system:deployment:remove,#,admin,2021-07-07 14:26:02,,,
2062,流程表达式,2053,3,expression,flowable/expression/index,,,1,1,C,0,0,system:expression:list,list,admin,2022-12-12 17:12:19,admin,2022-12-12 17:13:44,流程达式菜单
2063,流程达式查询,2062,1,#,,,,1,0,F,0,0,system:expression:query,#,admin,2022-12-12 17:12:19,,,
2064,流程达式新增,2062,2,#,,,,1,0,F,0,0,system:expression:add,#,admin,2022-12-12 17:12:19,,,
2065,流程达式修改,2062,3,#,,,,1,0,F,0,0,system:expression:edit,#,admin,2022-12-12 17:12:19,,,
2066,流程达式删除,2062,4,#,,,,1,0,F,0,0,system:expression:remove,#,admin,2022-12-12 17:12:19,,,
2067,流程达式导出,2062,5,#,,,,1,0,F,0,0,system:expression:export,#,admin,2022-12-12 17:12:19,,,
2068,流程监听,2053,4,listener,flowable/listener/index,,,1,0,C,0,0,system:listener:list,monitor,admin,2022-12-25 11:44:16,admin,2022-12-29 08:59:21,流程监听菜单
2069,流程监听查询,2068,1,#,,,,1,0,F,0,0,system:listener:query,#,admin,2022-12-25 11:44:16,,,
2070,流程监听新增,2068,2,#,,,,1,0,F,0,0,system:listener:add,#,admin,2022-12-25 11:44:16,,,
2071,流程监听修改,2068,3,#,,,,1,0,F,0,0,system:listener:edit,#,admin,2022-12-25 11:44:16,,,
2072,流程监听删除,2068,4,#,,,,1,0,F,0,0,system:listener:remove,#,admin,2022-12-25 11:44:16,,,
2073,流程监听导出,2068,5,#,,,,1,0,F,0,0,system:listener:export,#,admin,2022-12-25 11:44:16,,,
2074,文件管理,1,1,file,system/file/index,,,1,0,C,0,0,system:file:list,excel,admin,2025-11-27 14:34:46,,,文件管理菜单
2075,文件查询,2074,1,#,,,,1,0,F,0,0,system:file:query,#,admin,2025-11-27 14:34:46,,,
2076,文件新增,2074,2,#,,,,1,0,F,0,0,system:file:add,#,admin,2025-11-27 14:34:46,,,
2077,文件修改,2074,3,#,,,,1,0,F,0,0,system:file:edit,#,admin,2025-11-27 14:34:46,,,
2078,文件删除,2074,4,#,,,,1,0,F,0,0,system:file:remove,#,admin,2025-11-27 14:34:46,,,
2079,文件导出,2074,5,#,,,,1,0,F,0,0,system:file:export,#,admin,2025-11-27 14:34:46,,,
2080,第三方认证,1,1,oauth,system/oauth/index,,,1,0,C,0,0,system:oauth:list,checkbox,admin,2025-11-27 14:34:49,,,第三方认证菜单
2081,第三方认证查询,2080,1,#,,,,1,0,F,0,0,system:oauth:query,#,admin,2025-11-27 14:34:49,,,
2082,第三方认证新增,2080,2,#,,,,1,0,F,0,0,system:oauth:add,#,admin,2025-11-27 14:34:49,,,
2083,第三方认证修改,2080,3,#,,,,1,0,F,0,0,system:oauth:edit,#,admin,2025-11-27 14:34:49,,,
2084,第三方认证删除,2080,4,#,,,,1,0,F,0,0,system:oauth:remove,#,admin,2025-11-27 14:34:49,,,
2085,第三方认证导出,2080,5,#,,,,1,0,F,0,0,system:oauth:export,#,admin,2025-11-27 14:34:49,,,
